product_brand,product_name,product_price,product_size,perfume_size,product_loves,product_type1,product_type2,product_type3,about,product_rating,product_reviews_complete,fiveStars,fourStars,threeStars,twoStars,oneStar
ACQUA DI PARMA,Colonia Intensa,$114.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1059500,466,Fragrance,Men,Cologne,"Colonia Intensa, the first Eau de Cologne purely for men from Acqua di Parma. With classic and noble ingredients providing the perfect equilibrium between tradition and modernity, Colonia Intensa conveys the determination of a man who pursues his profession with enthusiasm and success. He is refined and cultured, choosing to surround himself with beautiful things. He is naturally spontaneous and charismatic and carries himself with an innate elegance. Discreet yet intense, Colonia Intensa immediately captures the senses with its citrus top notes, middle aromatic tones, and a tactile, luminous, spicy and smoky woody base. With its traditional Parma yellow box and classic bottle, Colonia Intensa is a brand icon; an indisputable pinnacle of Italian luxury.

Notes:
Calabrian Bergamot, Sicilian Lemon, Cardamom, Ginger, Mugwort, Neroli, Leather, Cedarwood, Lignum Vitae, Patchouli, Benzoin, Musk.
Style:
Spontaneous. Refined. Magnetic.",4.0,20 reviews,11,4,1,1,3
ACQUA DI PARMA,Magnolia Nobile,$136.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1226885,1476,Fragrance,Women,Perfume,"Inspired by the beautiful palazzo gardens of Italy's majestic Lake Como region, Magnolia Nobile represents the expression of natural and understated elegance. Created with the purest essences, Magnolia Nobile is an eau de parfum that reveals the most noble and refined aspects of the magnolia. Top notes of Italian bergamot, lemon, and citron blend seamlessly with magnolia accord, a rare ingredient extracted with time and dedication. The heart evolves with notes of rose, jasmine, and tuberose and the base notes unfold with sandalwood, patchouli, vetiver, and vanilla. The resulting unique and enveloping harmony creates an unforgettable, captivating effect.

Notes:
Italian Citron, Bergamot, Lemon, Magnolia, Arabian Jasmine, Bulgarian Rose, Tuberose, Sandalwood, Vetiver, Patchouli, Vanilla.",4.4,31 reviews,18,10,1,0,2
ACQUA DI PARMA,Blu Mediterraneo Italian Resort Restoring Face Mask,$130.00,NA,ITEM 1838432,263,Fragrance,Women,Bath & Shower,"What it is:
A quick-absorbing, hydrating mask that imparts the subtle scent of Blu Mediterrano Italian Resort.

What it is formulated to do:
This mask features an exquisite creamy texture that immediately melts into the skin. It provides intense hydration to nurture skin and provide a feeling of long-lasting comfort.

The Italian Resort signature fragrance, which brings the energy of the Mediterranean Sea, is a complex blend of breezy Italian citrus notes combined with the revitalizing power of Sicilian pines at the heart. The packaging recalls the blue color of the sea and the transparency and brightness of the water.

Notes:
Italian Bergamot, Mint, Sicilian Lemon, Neroli, Sea Accord, Fig Wood, Patchouli, Cypress, Musk.
Style:
Fresh. Joyful. Sparkling.",4.0,1 review,0,1,0,0,0
ACQUA DI PARMA,Bergamotto di Calabria,$64.00,NA,SIZE 1 oz/ 30 mL•ITEM 2044758,1492,Fragrance,Women,Perfume,"The land of Calabria is strong and intense. Only here does authentic bergamot find its natural habitat. Its sparkling notes appear at the onset of this joyful and uplifting fragrance and are enhanced by the freshness of citron, red ginger, and cedarwood. At the base, an unprecedented combination of vetiver, benzoin, and musk emerges.

Notes:
Bergamot, Citron, Red Ginger, Cedarwood. Vetiver, Benzoin, and Musk.
Style:
Joyful. Uplifting. Unique.",4.6,14 reviews,10,2,2,0,0
ACQUA DI PARMA,Chinotto di Liguria,$113.00,NA,SIZE 2.5 oz/ 75 mL•ITEM 2044725,205,Fragrance,Women,Perfume,"Fragrance Family:
Fresh

Scent Type:
Fresh Citrus & Fruits

Key Notes:
Chinotto, Jasmine, Patchouli

About:
Chinotto, the rarest and most precious citrus fruit, is a bittersweet treasure of Italy. This refreshing and lively scent is inspired by a unique land of contrasts. Like a perfect memory of a sunny morning walk overlooking the sea alongside chinotto and mandarin trees, this fragrance evokes the delightful embrace of sand and sea. Echoes and sunny touches of jasmine and geranium are refreshed by the energetic notes of rosemary and cardamom. Patchouli and musk evoke the silence and peace of an untouched nature for a pure moment of well-being.",4.8,4 reviews,3,1,0,0,0
ACQUA DI PARMA,Mandorlo di Sicilia,$113.00,NA,SIZE 2.5 oz/ 74 mL•ITEM 1417575,2471,Fragrance,Women,Perfume,"Sicily is a crossroads of art and culture, with the almond as part of the local tastes and traditions.

Known in Italian as Mandorlo di Sicilia, the soothing appeal of Sicilian almond opens this delicious fragrance. Its sweet caress joins notes of star anise, bergamot, and orange. The fragrance’s heart blends green Mediterranean almond and ylang-ylang before base notes of cedarwood, vanilla, and white musk emerge.

Notes:
Sicilian Almond, Star Anise, Bergamot, Orange, Green Mediterranean Almond, Ylang-Ylang, Cedarwood, Vanilla, and White Musk.
Style:
Delicious. Sweet. Soothing.",4.7,43 reviews,36,4,2,0,1
ACQUA DI PARMA,Colonia Oud,$245.00,NA,SIZE 3.4 oz/ 101 mL•ITEM 1507003,610,Fragrance,Men,Cologne,"Hailing from Southeast Asia, Oud is rare and widely sought after. It is said to cost more than its weight in gold. A new interpretation of Colonia Intensa, Colonia Oud combines the unique freshness of Colonia Intensa with one of the world’s most cherished ingredients, Oud, for an unforgettable fragrance that is both fresh and richly aromatic.

A touch of masculine elegance. The traditional Acqua di Parma Colonia Intensa bottle shape is distinguished with a deep matte brown finish on the glass and cap. Colonia Intensa Oud is presented in a hand crafted box lined with luxurious brown satin.

Notes:
Bergamot from Calabria, Italian Orange, Haitian Amyris Oil, Russian Coriander, Agarwood Oil, Moroccan Cedarwood, Indonesian Patchouli Oil, Leather Accord, Sandalwood Accord, Musk.
Style:
Luxurious. Fresh. Masculine.",4.3,18 reviews,13,1,1,2,1
ACQUA DI PARMA,Colonia Talcum Powder,$58.00,NA,SIZE 3.5 oz/ 104 mL•ITEM 967240,240,Fragrance,Men,Bath & Shower,"An elegant timeless scent filled with a fresh, luminous blend of natural ingredients like Bulgarian rose, Sicilian citrus fruits, lavender, and verbena.

Notes:
Bergamot, Citrus, Lemon, Bitter Orange, Sweet Orange, English Lavender, Bulgarian or Damascene Rose, Verbena, Clary Sage, Rosemary, Cedarwood, Patchouli, Sandalwood, Vetiver, Oakmoss.
Style:
Classic. Timeless. Natural.",5.0,1 review,1,0,0,0,0
ACQUA DI PARMA,Blu Mediterraneo Italian Resort Purifying Facial Toner,$65.00,NA,SIZE 6.7 oz•ITEM 1838416,173,Fragrance,Women,Bath & Shower,"What it is:
A toner that features a quick-absorbing, fluid texture and the sparkling scent of Blu Mediterrano Italian Resort.

What it is formulated to do:
This toner helps skin achieve a more radiant appearance while addressing pores and visible signs of aging with a hefty dose of hydration and the subtle scent of Blu Mediterrano Italian Resort.

The Italian Resort signature fragrance, which brings the energy of the Mediterranean Sea, is a complex blend of breezy Italian citrus notes combined with the revitalizing power of Sicilian pines at the heart. The packaging recalls the blue color of the sea and the transparency and brightness of the water.

Notes:
Italian Bergamot, Mint, Sicilian Lemon, Neroli, Sea Accord, Fig Wood, Patchouli, Cypress, Musk.
Style:
Fresh. Joyful. Sparkling.",NA,0 reviews,0,0,0,0,0
ACQUA DI PARMA,Gelsomino Nobile,$136.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1382977,871,Fragrance,Women,Perfume,"Known in Italy as gelsomino, jasmine has been cherished for generations in the formal gardens of Calabria, where warm sunshine and gentle sea breezes enhance its soft, green aroma. In Gelsomino Nobile, Acqua di Parma evokes this unique accord across a fragrance of extraordinary richness, personality, and nobility.

A floral scent with green and musky notes, it opens with the brightness of Italian mandarin, pink pepper, and the sensuality of tuberose. With orange blossom in the heart and a warm base featuring cedarwood and musk, the grace and richness of Calabrian jasmine is revealed throughout the life of the fragrance.

Notes:
Italian Mandarin, Pink Pepper, Tuberose Absolute, Orange Blossom Absolute, Calabrian Jasmine Absolute, Cedarwood Essence, Musk
Style:
Noble. Elegant. Delicate.",NA,0 reviews,0,0,0,0,0
ACQUA DI PARMA,Peonia Nobile,$136.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1886621,1623,Fragrance,Women,Perfume,"A refined interpretation of the peony flower unveils its sublime elegance in this fragrance. Vibrant accents of black pepper blended with soft notes of raspberry characterize the opening of the bouquet. The intense floral heart reveals sumptuous notes of peony combined with the brightness of geranium. An enveloping harmony evolves into the base, where the velvety and captivating tones of amber embrace the melting notes of patchouli.

All Acqua Di Parma products are handcrafted in Italy where the artisanal tradition is handed down from generation to generation.

Notes:
Raspberry, Black Pepper, Peony, Rose, Geranium, Amber, Patchouli, Musk.
Style:
Dynamic. Romantic. Enveloping.",4.2,16 reviews,9,3,2,2,0
ACQUA DI PARMA,Colonia Ebano Eau de Cologne Concentré,$245.00,NA,SIZE 3.4 oz/ 100 mL•ITEM 1915396,76,Fragrance,Men,Cologne,"Fragrance Family:
Earthy & Woody

Scent Type:
Warm Woods

Key Notes:
Vetiver, Patchouli, Honey

About:
This sophisticated, original fragrance was created using an unusual blend of two olfactory themes. The freshness of citrus notes typical of Colonia is uniquely combined with the woody, spicy accents of ebony. The composition opens with fresh top notes of petit grain and bergamot. These develop into an intense heart with the creamy, warm scents of ebony and elemi oil accentuated by a touch of spicy pink pepper. In the base, woody, aromatic notes of vetiver and patchouli blend elegantly with warm hints of honey to reveal the contemporary character of this new eau de cologne concentré.",4.0,1 review,0,1,0,0,0
ACQUA DI PARMA,Colonia Quercia,$245.00,NA,SIZE 3.4 oz•ITEM 1851302,83,Fragrance,Men,Cologne,"The freshness of clear, citrusy cologne notes blends beautifully with another precious ingredient—oak—for a fragrance with a heart of deep woods in the classic cologne style.

The iconic Colonia fragrance takes an olfactive journey with Acqua di Parma’s Colonia Ingredient Collection. Traditional fresh Italian notes found in the classic Colonia fragrance are paired with signature ingredients from around the world, celebrating the unexpected harmony found in diverse fragrance traditions.

Notes:
Lemon, Bergamot, Petit Grain, Pink Pepper, Cardamom, Carnation, Virginia Cedarwood, Tonka Absolute, Patchouli, Oak Moss Absolute.
Style:
Fresh. Rich. Natural.",4.0,1 review,0,1,0,0,0
ACQUA DI PARMA,Colonia Deodorant,$47.00,NA,SIZE 2.7 oz/ 77 g•ITEM 967224,310,Fragrance,Men,Body Sprays & Deodorant,"An elegant timeless scent filled with a fresh, luminous blend of natural ingredients like Bulgarian rose, Sicilian citrus fruits, lavender, and verbena.

Notes:
Bergamot, Citrus, Lemon, Bitter Orange, Sweet Orange, English Lavender, Bulgarian or Damascene Rose, Verbena, Clary Sage, Rosemary, Cedarwood, Patchouli, Sandalwood, Vetiver, Oakmoss.
Style:
Classic. Timeless. Natural.",3.4,5 reviews,2,1,0,1,1
ACQUA DI PARMA,Blu Mediterraneo Italian Resort Face and Eye Cleasing Oil,$60.00,NA,SIZE 6.7 oz•ITEM 1838408,115,Fragrance,Women,Bath & Shower,"What it is:
A cleansing oil with a rich and velvety texture and the sparkling scent of Blu Mediterrano Italian Resort.

What it is formulated to do:
This luxurious cleansing oil removes impurities and makeup without stripping skin of essential moisture. The rich texture leaves no greasy residue, but creates a complexion that feels softer and more elastic. It imparts the subtle scent of Blu Mediterrano Italian Resort.

The Italian Resort signature fragrance, which brings the energy of the Mediterranean Sea, is a complex blend of breezy Italian citrus notes combined with the revitalizing power of Sicilian pines at the heart. The packaging recalls the blue color of the sea and the transparency and brightness of the water.

Notes:
Italian Bergamot, Mint, Sicilian Lemon, Neroli, Sea Accord, Fig Wood, Patchouli, Cypress, Musk.
Style:
Fresh. Joyful. Sparkling.",2.5,2 reviews,0,0,1,1,0
ACQUA DI PARMA,Blu Mediterraneo Italian Resort Moisturizing Face Lotion,$80.00,NA,SIZE 6.7 oz•ITEM 1838424,102,Fragrance,Women,Bath & Shower,"What it is:
A rich and light lotion helps to moisturize and hydrate.

What it is formulated to do:
This moisturizing lotion provides hydration and the subtle scent of Blu Mediterrano Italian Resort.

The Italian Resort signature fragrance, which brings the energy of the Mediterranean Sea, is a complex blend of breezy Italian citrus notes combined with the revitalizing power of Sicilian pines at the heart. The packaging recalls the blue color of the sea and the transparency and brightness of the water.

Notes:
Italian Bergamot, Mint, Sicilian Lemon, Neroli, Sea Accord, Fig Wood, Patchouli, Cypress, Musk.
Style:
Fresh. Joyful. Sparkling.",2.0,1 review,0,0,0,1,0
ACQUA DI PARMA,Collezione Barbiere Revitalizing Eye Serum,$82.00,NA,SIZE 0.5 oz•ITEM 1838440,103,Men,Skincare,Eye Cream,"What it is:
A revitalizing eye serum with a fresh and elegant gel formula and a silky, fast-absorbing texture.

What it is formulated to do:
Ideal for softening and smoothing the delicate skin around the eyes, this serum was specifically formulated for men's skin to fade the signs of aging and diminish the appearance of wrinkles to give the eye contour a fresh and polished look. An innovative round steel applicator softly massages the delicate eye contour area. The formula is enriched with ellagi C, a special plant extract that increases the absorption of vitamin C and supports the appearance of firmer skin.

What else you need to know:
Acqua di Parma combines its distinguished heritage of artisan craftsmanship with the expertise of master Italian barbers to redefine grooming rituals for the modern gentleman.",NA,0 reviews,0,0,0,0,0
ACQUA DI PARMA,Colonia Club,$114.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1775055,177,Fragrance,Men,Cologne,"Colonia Club captures bold masculinity and a modern style inspired by one of the most exclusive sports clubs in the world—horse dressage. The fragrance is a fresh, timeless classic for the stylish, modern gentleman.

The art deco bottle and packaging have been designed in a bold green color and remain recognized symbols of Italian elegance and style. Each is still made by hand, with a hand-polished, bakelite cap.

Notes:
Sicilian Lemon, Petit Grain, Bergamot, Sicilian Mandarin, Mint, Neroli, Lavander, Geranium, Shiso, Carvi, Galbanol, Haitian Vetiver, Musk, Ambergris Accord.
Style:
Fresh. Vibrant. Masculine.",NA,0 reviews,0,0,0,0,0
ACQUA DI PARMA,Le Nobili Hat Box Set,"$168.00
($195.00 value)",NA,SIZE 3 x 0.67oz/20mL•ITEM 2168581,334,Fragrance,Value & Gift Sets,Perfume Gift Sets,"Fragrance Description: This limited-edition set contains three precious floral fragrances in a convenient 20ml format. Peonia Nobile is a refined interpretation of the peony flower. Magnolia Nobile is a fragrance that expresses refined femininity. Rosa Nobile is a tribute to magnolia, the queen of flowers.

This set contains:
- 3 x 0.67oz/20mL in Magnolia Nobile, Rosa Nobile, Peonia Nobile",NA,0 reviews,0,0,0,0,0
AERIN,Mediterranean Honeysuckle,$125.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1794585,6170,Fragrance,Women,Perfume,"Escape to the sun-drenched, azure-blue Mediterranean. Sweet honeysuckle and sparkling grapefruit evoke lush flowers and shimmering beaches. Sun-warmed and citrusy Italian bergamot and mandarin oil impart a lasting freshness. Lily of the valley and lush gardenia build to the sensuality and richness of jasmine sambac absolute for a fragrance as magical and elegant as its inspiration.

Notes:
Italian Bergamot, Honeysuckle, Grapefruit, Mandarin Oil, Jasmine Sambac Absolute.
Style:
Magical. Elegant. Floral.",4.3,75 reviews,45,15,9,3,3
AERIN,Aegea Blossom Eau de Parfum,$125.00,NA,SIZE 1.7oz/50mL•ITEM 2192177,140,Fragrance,Women,Perfume,"Fragrance Family: Fresh

Scent Type: Fresh Florals

Key Notes: Sicilian Bergamot, Neroli Petals, Musk

Fragrance Description: AERIN introduces Aegea Blossom, a luminous floral scent, that captures the sparkling vibrancy of a coastal paradise and a cool breeze on the open water. Notes of Sicilian bergamot paired with crisp mandarin and glistening verbena open the fragrance with a sophisticated, radiant glow that sparkles. Diffused with a breeze of sheer jasmine to impart a unique luminosity, scents of sun-drenched neroli petals and blooming orange flower glisten with a naturally fresh brilliance. In the final notes, glowing musk surrenders to the sultry, lingering notes of vetiver and sandalwood, as warm as the reflection of sunlight on water.",5.0,3 reviews,3,0,0,0,0
AERIN,Amber Musk,$125.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1639228,4385,Fragrance,Women,Perfume,"Amber musk blends sensual florals, distinctive amber, and creamy musk. Ambrox makes a velvety first impression, contrasted by a succulent burst of coconut water and the femininity of rose centifolia absolute. Like the glow of amber flames, lingering benzoin and musk infuse the fragrance with warmth.

""Amber Musk is a warm, inviting scent you want to wrap yourself in—like a soft cozy blanket on a cold snowy night.""—Aerin Lauder, Founder and Creative Director, AERIN

Notes:
Coconut Water, Rose Centifolia, Ambrox, Benzoin, Musk.
Style:
Warm. Inviting. Cozy.",4.4,65 reviews,40,14,6,4,1
AERIN,Rose Lip Conditioner,$30.00,NA,SIZE 0.34 oz/ 10 mL•ITEM 1738640,10K,Makeup,Lip,Lip Balm & Treatment,"What it is:
A nourishing lip conditioner with a calming rose scent.

What it does:
This pretty nude shade provides the perfect kiss of color for every skin tone, or adds polish when layered over lipstick. Intensive skin conditioners help nourish and repair lips all day long and AERIN's signature rose scent brings a sense of calm.",4.3,339 reviews,229,52,21,16,21
AERIN,Ikat Jasmine,$175.00,NA,SIZE 3.4 oz/ 101 mL•ITEM 1738582,3970,Fragrance,Women,Perfume,"The impeccable pairing of jasmine sambac and jasmine Egypt infusion is enhanced with exotic tuberose fleur for a fragrance rich with velvety body and soft freshness. A delicate touch of Honeysuckle invigorates the senses, while tuberose infusion and sandalwood add subtle intensity and luminous depth. Ikat Jasmine is as captivating as the woman who wears it.

“Ikat Jasmine personifies a modern woman: effortless style and intriguing femininity.”—Aerin Lauder, Founder and Creative Director, AERIN

Notes:
Tuberose Fleur, Jasmine Sambac, Jasmine Egypt Infusion, Honeysuckle, Tuberose Infusion.
Style:
Fresh. Feminine. Modern.",4.5,48 reviews,36,4,4,3,1
AERIN,Hibiscus Palm,$125.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 2039121,3063,Fragrance,Women,Perfume,"Fragrance Family:
Floral

Scent Type:
Powdery Florals

Key Notes:
Lotus Flower Accord, Hibiscus Palm Accord, Tiare Absolute, Heliotrope, Coconut Milk

About:
Journey to a palm-fringed, tropical island. Hibiscus Palm captures the island scent of brilliant sunshine on a lush beach. Accords of lotus flower and hibiscus palm mingle with ylang-ylang and exotic ginger. Frangipani blends with a heart of fragrant white blossoms, wrapped in the velvety warmth of coconut milk, vanilla and musk.",4.4,26 reviews,18,4,2,0,2
AERIN,Aegea Blossom Eau de Parfum Rollerball,$30.00,NA,SIZE .27oz/8mL•ITEM 2192193,213,Fragrance,Women,Rollerballs & Travel Size,"Fragrance Family: Fresh

Scent Type: Fresh Florals

Key Notes: Sicilian Bergamot, Neroli Petals, Musk

Fragrance Description: AERIN introduces Aegea Blossom, a luminous floral scent, that captures the sparkling vibrancy of a coastal paradise and a cool breeze on the open water. Notes of Sicilian bergamot paired with crisp mandarin and glistening verbena open the fragrance with a sophisticated, radiant glow that sparkles. Diffused with a breeze of sheer jasmine to impart a unique luminosity, scents of sun-drenched neroli petals and blooming orange flower glisten with a naturally fresh brilliance. In the final notes, glowing musk surrenders to the sultry, lingering notes of vetiver and sandalwood, as warm as the reflection of sunlight on water.",4.0,1 review,0,1,0,0,0
AERIN,Amber Musk Rollerball,$30.00,NA,SIZE 0.27 oz/ 8 mL•ITEM 1736040,3790,Fragrance,Women,Rollerballs & Travel Size,"Amber musk blends sensual florals, distinctive amber, and creamy musk. Ambrox makes a velvety first impression, contrasted by a succulent burst of coconut water and the femininity of rose centifolia absolute. Like the glow of amber flames, lingering benzoin and musk infuse the fragrance with warmth.

""Amber Musk is a warm, inviting scent you want to wrap yourself in—like a soft cozy blanket on a cold snowy night.""—Aerin Lauder, Founder and Creative Director, AERIN

Notes:
Coconut Water, Rose Centifolia, Ambrox, Benzoin, Musk.
Style:
Warm. Inviting. Cozy.",4.4,27 reviews,19,3,3,1,1
